File Type,Original Name,New Name,Error
Items PDF,Keke's_Franchise_Organization_LLC_Keke's_Breakfast_Cafe_2024_Items1-23.pdf,"KEKE'S FRANCHISE ORGANIZATION, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,KELLER_WILLIAMS_REALTY_INC_Regional_Representative_2024.pdf,KELLER WILLIAMS REALTY INC_2024.pdf,File not found
JSON,KELLER_WILLIAMS_REALTY_INC_Regional_Representative_2024_FranchiseInfo.json,KELLER WILLIAMS REALTY INC_2024_FranchiseInfo.json,File not found
Subfolder PDF,KELLER_WILLIAMS_REALTY_INC_Regional_Representative_2024_Items1-23.pdf,KELLER WILLIAMS REALTY INC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,KELLER_WILLIAMS_REALTY_INC_Regional_Representative_2024_Items1-23.pdf,KELLER WILLIAMS REALTY INC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,Keyrenter_Franchise_LLC_Keyrenter_Property_Management_2024.pdf,KEYRENTER FRANCHISE LLC_2024.pdf,File not found
JSON,Keyrenter_Franchise_LLC_Keyrenter_Property_Management_2024_FranchiseInfo.json,KEYRENTER FRANCHISE LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,Keyrenter_Franchise_LLC_Keyrenter_Property_Management_2024_Items1-23.pdf,KEYRENTER FRANCHISE LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,Keyrenter_Franchise_LLC_Keyrenter_Property_Management_2024_Items1-23.pdf,KEYRENTER FRANCHISE LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,KFC_US_LLC_KFC_(NON-TRADITIONAL)_2024.pdf,"KFC US, LLC_2024.pdf",File not found
JSON,KFC_US_LLC_KFC_(NON-TRADITIONAL)_2024_FranchiseInfo.json,"KFC US, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,KFC_US_LLC_KFC_(NON-TRADITIONAL)_2024_Items1-23.pdf,"KFC US, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,KFC_US_LLC_KFC_(NON-TRADITIONAL)_2024_Items1-23.pdf,"KFC US, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,KF_Tea_Franchising_LLC_Kung_Fu_Tea_2024.pdf,KF TEA FRANCHISING LLC_2024.pdf,File not found
JSON,KF_Tea_Franchising_LLC_Kung_Fu_Tea_2024_FranchiseInfo.json,KF TEA FRANCHISING LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,KF_Tea_Franchising_LLC_Kung_Fu_Tea_2024_Items1-23.pdf,KF TEA FRANCHISING LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,KF_Tea_Franchising_LLC_Kung_Fu_Tea_2024_Items1-23.pdf,KF TEA FRANCHISING LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,KickHouse_Franchise_Holdings_International_LLC_KickHouse_2023.pdf,"KICKHOUSE FRANCHISE HOLDINGS INTERNATIONAL, LLC_2023.pdf",File not found
JSON,KickHouse_Franchise_Holdings_International_LLC_KickHouse_2023_FranchiseInfo.json,"KICKHOUSE FRANCHISE HOLDINGS INTERNATIONAL, LLC_2023_FranchiseInfo.json",File not found
Subfolder PDF,KickHouse_Franchise_Holdings_International_LLC_KickHouse_2023_Items1-23.pdf,"KICKHOUSE FRANCHISE HOLDINGS INTERNATIONAL, LLC_2023_Items1-23.pdf",File not found in subfolder
Items PDF,KickHouse_Franchise_Holdings_International_LLC_KickHouse_2023_Items1-23.pdf,"KICKHOUSE FRANCHISE HOLDINGS INTERNATIONAL, LLC_2023_Items1-23.pdf",File not found in Items folder
Main PDF,Kidcreate_Studio_Franchising_LLC_Kidcreate_2024.pdf,"KIDCREATE STUDIO FRANCHISING, LLC_2024.pdf",File not found
JSON,Kidcreate_Studio_Franchising_LLC_Kidcreate_2024_FranchiseInfo.json,"KIDCREATE STUDIO FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Kidcreate_Studio_Franchising_LLC_Kidcreate_2024_Items1-23.pdf,"KIDCREATE STUDIO FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kidcreate_Studio_Franchising_LLC_Kidcreate_2024_Items1-23.pdf,"KIDCREATE STUDIO FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kiddie_Academy_Domestic_Franchising_LLC_Kiddie_Academy_Educational_Child_Care_2024.pdf,"KIDDIE ACADEMY DOMESTIC FRANCHISING, LLC_2024.pdf",File not found
JSON,Kiddie_Academy_Domestic_Franchising_LLC_Kiddie_Academy_Educational_Child_Care_2024_FranchiseInfo.json,"KIDDIE ACADEMY DOMESTIC FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Kiddie_Academy_Domestic_Franchising_LLC_Kiddie_Academy_Educational_Child_Care_2024_Items1-23.pdf,"KIDDIE ACADEMY DOMESTIC FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kiddie_Academy_Domestic_Franchising_LLC_Kiddie_Academy_Educational_Child_Care_2024_Items1-23.pdf,"KIDDIE ACADEMY DOMESTIC FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kidokinetics_Franchise_LLC_Kidokinetics_2024.pdf,KIDOKINETICS FRANCHISE LLC_2024.pdf,File not found
JSON,Kidokinetics_Franchise_LLC_Kidokinetics_2024_FranchiseInfo.json,KIDOKINETICS FRANCHISE LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,Kidokinetics_Franchise_LLC_Kidokinetics_2024_Items1-23.pdf,KIDOKINETICS FRANCHISE LLC_2024_Items1-23.pdf,File not found in subfolder
